Titles,List of Authors,Citations,PMIDs,Abstract Snippets
"
              
                Effects of Docosahexanoic Acid on Gut Microbiota and Fecal Metabolites in HIV-Infected Patients With Neurocognitive Impairment: A 6-Month Randomized, Double-Blind, Placebo-Controlled Trial.
              
            ","Dong R, Lin H, Ding Y, Chen X, Shi R, Yuan S, Li J, Zhu B, Xu X, Shen W, Wang K, Ding D, He N.",Front Nutr. 2022 Jan 21;8:756720. doi: 10.3389/fnut.2021.756720. eCollection 2021.,35127778,"
              Neurocognitive impairment (NCI) and gut microbiota dysbiosis are prevalent in patients with HIV infection. Docosahexanoic acid (DHA) supplementation may alleviate multiple neurocognitive diseases symptoms and plays important role in regulating gut microbio …
            "
"
              
                Invited review: Camel milk and gut health-Understanding digestibility and the effect on gut microbiota.
              
            ","Ali AH, Li S, Liu SQ, Gan RY, Li HB, Kamal-Eldin A, Ayyash M.",J Dairy Sci. 2024 May;107(5):2573-2585. doi: 10.3168/jds.2023-23995. Epub 2023 Nov 16.,37977446,"
              The gut microbiota has a vital role in regulating the host's health because it helps in several biological functions, such as protection against pathogens, immune function regulation, energy harvesting from digested foods, and reinforcement of digestive tract …
            "
"
              
                The role of the gut-microbiota-brain axis via the subdiaphragmatic vagus nerve in chronic inflammatory pain and comorbid spatial working memory impairment in complete Freund's adjuvant mice.
              
            ","Yue C, Luan W, Gu H, Qiu D, Ding X, Liu P, Wang X, Hashimoto K, Yang JJ.",J Psychiatr Res. 2023 Oct;166:61-73. doi: 10.1016/j.jpsychires.2023.09.003. Epub 2023 Sep 17.,37741061,"
              However, the mechanisms underlying CIP and comorbid memory impairment remain elusive. This study aimed to examine the role of the gut-microbiota-brain axis in CIP and comorbid memory impairment in mice treated with complete Freund's adjuvant (CFA). 16S rRNA analysis …
            "
"
              
                Regulation of Gut Microbiota through Breast Milk Feeding Benefits Language and Cognitive Development of Preterm Toddlers.
              
            ","Guo S, Huang K, Liu R, Sun J, Yin C.",Microorganisms. 2023 Mar 28;11(4):866. doi: 10.3390/microorganisms11040866.,37110289,"
              Feeding practice is essential to growth and development of preterm toddlers. However, the relationship of feeding mode with gut microbiota and neurodevelopment outcomes of preterm toddlers has not been characterized fully. We conducted this cohort study to assess ne …
            "
"
              
                The diversity of the intestinal microbiota in patients with alcohol use disorder and its relationship to alcohol consumption and cognition.
              
            ","Du Y, Li L, Gong C, Li T, Xia Y.",Front Psychiatry. 2022 Dec 22;13:1054685. doi: 10.3389/fpsyt.2022.1054685. eCollection 2022.,36620654,"
              A growing body of research has shown that environmental elements can affect the brain via the microbiota-gut-brain axis. METHODS: We employed 16S rRNA gene sequencing technology to investigate the composition and diversity of intestinal microbiota in 3 …
            "
"
              
                Dietary Flaxseed and Flaxseed Oil Differentially Modulate Aspects of the Microbiota Gut-Brain Axis Following an Acute Lipopolysaccharide Challenge in Male C57Bl/6 Mice.
              
            ","Livingston DBH, Sweet A, Rodrigue A, Kishore L, Loftus J, Ghali F, Mahmoodianfard S, Celton C, Hosseinian F, Power KA.",Nutrients. 2023 Aug 11;15(16):3542. doi: 10.3390/nu15163542.,37630732,"
              The microbiota gut-brain axis (mGBA) is an important contributor to mental health and neurological and mood disorders. ...Overall, this study highlights the potential for flaxseed to attenuate LPS-induced inflammation, in part through modulation of the …
            "
"
              
                Garlic essential oil ameliorates depression-like behaviors in unpredictable chronic mild stress by modulating the brain NLRP3 inflammasome pathway and influencing the gut barrier and microbiota.
              
            ","Huang YJ, Tsai MS, Panyod S, Liu PY, Lu KH, Weng CY, Huang HS, Hsu CC, Sheen LY.",Food Funct. 2023 Jul 31;14(15):6998-7010. doi: 10.1039/d3fo00270e.,37435927,"
              Depression is a severe mental disorder, with approximately 300 million people suffering from it. ...As a therapeutic herb, garlic (Allium sativum L.) has detoxification, antibacterial activity, and antiinflammatory functions; however, its antidepressant effect through g …
            "
"
              
                Influence of gut microbiota on neuropsychiatric disorders.
              
            ","Cenit MC, Sanz Y, Codoñer-Franch P.",World J Gastroenterol. 2017 Aug 14;23(30):5486-5498. doi: 10.3748/wjg.v23.i30.5486.,28852308,"
              The last decade has witnessed a growing appreciation of the fundamental role played by an early assembly of a diverse and balanced gut microbiota and its subsequent maintenance for future health of the host. ...Such research is expected to contribute t …
            "
"
              
                The development of the gut microbiome and temperament during infancy and early childhood: A systematic review.
              
            ","Alving-Jessep E, Botchway E, Wood AG, Hilton AC, Blissett JM.",Dev Psychobiol. 2022 Nov;64(7):e22306. doi: 10.1002/dev.22306.,36282751,"
              Variation in temperament can be explained by environmental and biological factors. One biological mechanism of interest is the gut microbiome (GM), which has been associated with mental and physical health. ...Unique community structures (beta diver …
            "
"
              
                The gut microbiota is associated with psychiatric symptom severity and treatment outcome among individuals with serious mental illness.
              
            ","Madan A, Thompson D, Fowler JC, Ajami NJ, Salas R, Frueh BC, Bradshaw MR, Weinstein BL, Oldham JM, Petrosino JF.",J Affect Disord. 2020 Mar 1;264:98-106. doi: 10.1016/j.jad.2019.12.020. Epub 2019 Dec 14.,32056780,"
              This study examined the relationship between the gut microbiota and psychiatric symptom severity and treatment response among inpatients with serious mental illness. ...Gut microbiota richness and alpha diversity early in the course of ho …
            "
"
              
                The Role of the Gut Microbiota in the Effects of Early-Life Stress and Dietary Fatty Acids on Later-Life Central and Metabolic Outcomes in Mice.
              
            ","Reemst K, Tims S, Yam KY, Mischke M, Knol J, Brul S, Schipper L, Korosi A.",mSystems. 2022 Jun 28;7(3):e0018022. doi: 10.1128/msystems.00180-22. Epub 2022 Jun 13.,35695433,"
              Due to the importance of the gut microbiota as a determinant of long-term health, we here study the impact of ELS and dietary PUFAs on the gut microbiota and how this relates to the previously described cognitive, metabolic, and fatty acid profi …
            "
"
              
                Rosacea, microbiome and probiotics: the gut-skin axis.
              
            ","Sánchez-Pellicer P, Eguren-Michelena C, García-Gavín J, Llamas-Velasco M, Navarro-Moratalla L, Núñez-Delegido E, Agüera-Santos J, Navarro-López V.",Front Microbiol. 2024 Jan 8;14:1323644. doi: 10.3389/fmicb.2023.1323644. eCollection 2023.,38260914,"
              Rosacea is an inflammatory skin disease involving diverse symptoms with a variable clinical progress which can severely impact the patient's quality of life as well as their mental health. ...Through this review we aim to establish and compile the basics and …
            "
"
              
                Gut microbiota disturbances in hospitalized older adults with malnutrition and clinical outcomes.
              
            ","Muñoz-Fernandez SS, Garcez FB, Alencar JCG, Bastos AA, Morley JE, Cederholm T, Aprahamian I, de Souza HP, Avelino-Silva TJ, Bindels LB, Ribeiro SML.",Nutrition. 2024 Jun;122:112369. doi: 10.1016/j.nut.2024.112369. Epub 2024 Feb 1.,38422755,"
              OBJECTIVE: Malnutrition is one of the most threatening conditions in geriatric populations. The gut microbiota has an important role in the host's metabolic and muscular health: however, its interplay with disease-related malnutrition is not well understood. …
            "
"
              
                Exercise and the gut microbiome: implications for supportive care in cancer.
              
            ","Hart NH, Wallen MP, Farley MJ, Haywood D, Boytar AN, Secombe K, Joseph R, Chan RJ, Kenkhuis MF, Buffart LM, Skinner TL, Wardill HR.",Support Care Cancer. 2023 Nov 28;31(12):724. doi: 10.1007/s00520-023-08183-7.,38012463,"
              PURPOSE: Growing recognition of the gut microbiome as an influential modulator of cancer treatment efficacy and toxicity has led to the emergence of clinical interventions targeting the microbiome to enhance cancer and health outcomes. The highly modif …
            "
"
              
                Intestinal microbiome and maternal mental health: preventing parental stress and enhancing resilience in mothers.
              
            ","Matsunaga M, Takeuchi M, Watanabe S, Takeda AK, Kikusui T, Mogi K, Nagasawa M, Hagihara K, Myowa M.",Commun Biol. 2024 Feb 29;7(1):235. doi: 10.1038/s42003-024-05884-5.,38424440,"
              The number of mothers suffering from mental illness is increasing steadily, particularly under conditions of the coronavirus pandemic. ...Our results showed that alpha diversity and beta diversity of the microbiome are related to high parenting stress …
            "
"
              
                Effect of Ginger Root Powder on Gastrointestinal Bacteria Composition, Gastrointestinal Symptoms, Mental Health, Fatigue, and Quality of Life: A Double-Blind Placebo-Controlled Trial.
              
            ","Crichton M, Marshall S, Marx W, Isenring E, Vázquez-Campos X, Dawson SL, Lohning A.",J Nutr. 2023 Nov;153(11):3193-3206. doi: 10.1016/j.tjnut.2023.09.002. Epub 2023 Sep 9.,37690779,"
              BACKGROUND: Despite compositional alterations in gastrointestinal microbiota being purported to underpin some of the therapeutic effects of ginger, the effect of a standardized ginger supplement on gut microbiota has not been tested in humans. ...CONCL …
            "
"
              
                Gut microbiota signature in treatment-naive attention-deficit/hyperactivity disorder.
              
            ","Richarte V, Sánchez-Mora C, Corrales M, Fadeuilhe C, Vilar-Ribó L, Arribas L, Garcia E, Rosales-Ortiz SK, Arias-Vasquez A, Soler-Artigas M, Ribasés M, Ramos-Quiroga JA.",Transl Psychiatry. 2021 Jul 8;11(1):382. doi: 10.1038/s41398-021-01504-6.,34238926,"
              However, findings for ADHD are inconsistent among studies, and specific gut microbiome signatures for the disorder remain unknown. Given that previous studies have mainly focused on the pediatric form of the disorder and involved small sample sizes, we conducted the …
            "
"
              
                Characterization of the gut microbiota among Veterans with unique military-related exposures and high prevalence of chronic health conditions: A United States-Veteran Microbiome Project (US-VMP) study.
              
            ","Stanislawski MA, Stamper CE, Stearns-Yoder KA, Hoisington AJ, Brostow DP, Forster JE, Postolache TT, Lowry CA, Brenner LA.",Brain Behav Immun Health. 2021 Sep 14;18:100346. doi: 10.1016/j.bbih.2021.100346. eCollection 2021 Dec.,34988495,"
              United States (US) military Veterans are a unique population in that their military-related exposures can have consequences for both physical and mental health, but the gut microbiome of this population has been understudied. In this publication, we de …
            "
"
              
                Early-life exercise may promote lasting brain and metabolic health through gut bacterial metabolites.
              
            ","Mika A, Fleshner M.",Immunol Cell Biol. 2016 Feb;94(2):151-7. doi: 10.1038/icb.2015.113. Epub 2015 Dec 9.,26647967,"
              The 100 trillion microorganisms residing within our intestines contribute roughly 5 million additional genes to our genetic gestalt, thus posing the potential to influence many aspects of our physiology. Microbial colonization of the gut shortly after birth is vital for th …
            "
"
              
                Nutrition-based interventions for mood disorders.
              
            ","Martins LB, Braga Tibães JR, Sanches M, Jacka F, Berk M, Teixeira AL.",Expert Rev Neurother. 2021 Mar;21(3):303-315. doi: 10.1080/14737175.2021.1881482. Epub 2021 Mar 3.,33487078,"
              However, only a few clinical trials have evaluated the effect of nutritional interventions on the treatment of these conditions. The bidirectional interaction between the brain and the gut, named 'brain-gut-microbiome axis' or 'gut-brain axis', plays a …
            "
"
              
                Alterations of gut microbiota are associated with blood pressure: a cross-sectional clinical trial in Northwestern China.
              
            ","Lv J, Wang J, Yu Y, Zhao M, Yang W, Liu J, Zhao Y, Yang Y, Wang G, Guo L, Zhao H.",J Transl Med. 2023 Jun 30;21(1):429. doi: 10.1186/s12967-023-04176-6.,37391847,"
              BACKGROUND: The human gut microbiota (GM) is involved in the pathogenesis of hypertension (HTN), and could be affected by various factors, including sex and geography. ...Fecal samples were collected for 16S rRNA gene sequencing and metagenomic sequencing. RESULTS: …
            "
"
              
                Using the Microbiome as a Regenerative Medicine Strategy for Autoimmune Diseases.
              
            ","Williams KL, Enslow R, Suresh S, Beaton C, Hodge M, Brooks AE.",Biomedicines. 2023 May 30;11(6):1582. doi: 10.3390/biomedicines11061582.,37371676,"
              While the gut microbiome is ever-adaptive, gut dysbiosis can exert a significant influence on physical and mental health. ...Additionally, we plan to show that diet alterations can promote beneficial changes in the gut microbiota, …
            "
"
              
                Maternal pre-pregnancy overweight and neonatal gut bacterial colonization are associated with cognitive development and gut microbiota composition in pre-school-age offspring.
              
            ","Guzzardi MA, Ederveen THA, Rizzo F, Weisz A, Collado MC, Muratori F, Gross G, Alkema W, Iozzo P.",Brain Behav Immun. 2022 Feb;100:311-320. doi: 10.1016/j.bbi.2021.12.009. Epub 2021 Dec 15.,34920092,"
              Maternal gestational obesity is a risk factor for offspring's neurodevelopment and later neuro-cognitive disorders. Altered gut microbiota composition has been found in patients with neurocognitive disorders, and in relation to maternal metabolic health. We e …
            "
"
              
                CUMS and dexamethasone induce depression-like phenotypes in mice by differentially altering gut microbiota and triggering macroglia activation.
              
            ","Wu J, Li J, Gaurav C, Muhammad U, Chen Y, Li X, Chen J, Wang Z.",Gen Psychiatr. 2021 Dec 13;34(6):e100529. doi: 10.1136/gpsych-2021-100529. eCollection 2021.,34970638,"
              BACKGROUND: Although the link between gut microbiota and depression has been suggested, changes of gut microbiota vary largely among individuals with depression. AIMS: Explore the heterogeneity of microbiota-gut-brain axis and new pathoge …
            "
"
              
                Exposure to hexafluoropropylene oxide dimer acid (HFPO-DA) disturbs the gut barrier function and gut microbiota in mice.
              
            ","Xie X, Zhou J, Hu L, Shu R, Zhang M, Xiong Z, Wu F, Fu Z.",Environ Pollut. 2021 Dec 1;290:117934. doi: 10.1016/j.envpol.2021.117934. Epub 2021 Aug 9.,34416495,"
              Hexafluoropropylene oxide dimer acid (HFPO-DA) is the substitute for perfluoro octanoic acid (PFOA), and recently it has been detected in environmental water samples worldwide and has multiple toxicities. However, whether it will affect the intestines and gut microbiota …
            "
"
              
                Microbiota impacts on chronic inflammation and metabolic syndrome - related cognitive dysfunction.
              
            ","Arnoriaga-Rodríguez M, Fernández-Real JM.",Rev Endocr Metab Disord. 2019 Dec;20(4):473-480. doi: 10.1007/s11154-019-09537-5.,31884557,"
              Microbiota composition, diversity and diverse metabolites have been related to different metabolic features and cognitive traits. ...Diet, exercise and prebiotics, probiotics or symbiotics significantly influence cognition and changes in the microbiota …
            "
"
              
                The clinical outcomes of gut-brain axis (GBA) microbiota influence on psychiatric disorders.
              
            ","Navidinia M, Goudarzi M, Seyfi E.",Iran J Microbiol. 2023 Feb;15(1):1-9. doi: 10.18502/ijm.v15i1.11912.,37069911,"
              The gut microbiome plays an important role in the health of the body. The study of its effect on mental problems has become the main topic of this study. As a matter of fact, every change in the gut microbiota composition can influence on …
            "
"
              
                Probiotics of Diverse Origin and Their Therapeutic Applications: A Review.
              
            ","Yadav M, Mandeep, Shukla P.",J Am Coll Nutr. 2020 Jul;39(5):469-479. doi: 10.1080/07315724.2019.1691957. Epub 2019 Nov 25.,31765283,"
              The increased awareness about the harmful effects of excessive use of antibiotics has created an interest in probiotics due to its beneficial effects on gut microbiota. These advantages of probiotics have attracted researchers to find out effects on human metabolism …
            "
"
              
                Evolution, human-microbe interactions, and life history plasticity.
              
            ","Rook G, Bäckhed F, Levin BR, McFall-Ngai MJ, McLean AR.",Lancet. 2017 Jul 29;390(10093):521-530. doi: 10.1016/S0140-6736(17)30566-4. Epub 2017 Jul 27.,28792414,"
              Today, all vertebrates harbour large communities of microorganisms (microbiota), particularly in the gut, and at least 20% of the small molecules in human blood are products of the microbiota. Changing human lifestyles and medical practices are disturbing the …
            "
"
              
                Metabolite trajectories across the perinatal period and mental health: A preliminary study of tryptophan-related metabolites, bile acids and microbial composition.
              
            ","Kimmel M, Jin W, Xia K, Lun K, Azcarate-Peril A, Plantinga A, Wu M, Ataei S, Rackers H, Carroll I, Meltzer-Brody S, Fransson E, Knickmeyer R.",Behav Brain Res. 2022 Feb 10;418:113635. doi: 10.1016/j.bbr.2021.113635. Epub 2021 Oct 29.,34755640,"
              Findings of note include: (1) changes in kynurenine and the ratio of kynurenic acid to kynurenine from second trimester to third trimester were strongly associated with baseline primary and secondary bile acids. (2) Secondary bile acid UDCA and its conjugated forms were associate …
            "
"
              
                Effect of 1-year lifestyle intervention with energy-reduced Mediterranean diet and physical activity promotion on the gut metabolome and microbiota: a randomized clinical trial.
              
            ","García-Gavilán JF, Atzeni A, Babio N, Liang L, Belzer C, Vioque J, Corella D, Fitó M, Vidal J, Moreno-Indias I, Torres-Collado L, Coltell O, Toledo E, Clish C, Hernando J, Yun H, Hernández-Cacho A, Jeanfavre S, Dennis C, Gómez-Pérez AM, Martínez MA, Ruiz-Canela M, Tinahones FJ, Hu FB, Salas-Salvadó J.",Am J Clin Nutr. 2024 May;119(5):1143-1154. doi: 10.1016/j.ajcnut.2024.02.021. Epub 2024 Feb 29.,38428742,"
              BACKGROUND: The health benefits of the Mediterranean diet (MedDiet) have been linked to the presence of beneficial gut microbes and related metabolites. ...In addition, we observed a reduction in the abundance of the genera Eubacterium hallii group and Dorea, and an …
            "
"
              
                Gut microbiome and adaptive immunity in schizophrenia.
              
            ","Agorastos A, Bozikas VP.",Psychiatriki. 2019 Jul-Sep;30(3):189-192. doi: 10.22365/jpsych.2019.303.189.,31685450,"
              Adaptive immunity is principally founded on T-cell and B-cell populations, but also includes the host microbiome. The gastrointestinal microbiota is a complex ecosystem with a great organism diversity and refined genomic structure that resides in the i …
            "
"
              
                Profiles and diagnostic value of intestinal microbiota in schizophrenia patients with metabolic syndrome.
              
            ","Xing M, Gao H, Yao L, Wang L, Zhang C, Zhu L, Cui D.",Front Endocrinol (Lausanne). 2023 Jul 27;14:1190954. doi: 10.3389/fendo.2023.1190954. eCollection 2023.,37576972,"
              However, the gut microbiota composition and characteristics of schizophrenia patients with metabolic syndrome (MetS) have been largely understudied. ...We assessed the variations of gut microbiome between both groups and explored potential associations …
            "
"
              
                High-fat diet alters stress behavior, inflammatory parameters and gut microbiota in Tg APP mice in a sex-specific manner.
              
            ","Yanguas-Casás N, Torres C, Crespo-Castrillo A, Diaz-Pacheco S, Healy K, Stanton C, Chowen JA, Garcia-Segura LM, Arevalo MA, Cryan JF, de Ceballos ML.",Neurobiol Dis. 2021 Nov;159:105495. doi: 10.1016/j.nbd.2021.105495. Epub 2021 Aug 31.,34478848,"
              Both conditions present glial activation and inflammation and show sex differences in their incidence, clinical manifestation, and disease course. HFD intake has an important impact on gut microbiota, the bacteria present in the gut, and microbiota dys …
            "
"
              
                Evolution and the critical role of the microbiota in the reduced mental and physical health associated with low socioeconomic status (SES).
              
            ",Rook GAW.,Neurosci Biobehav Rev. 2024 Jun;161:105653. doi: 10.1016/j.neubiorev.2024.105653. Epub 2024 Apr 4.,38582194,"
              The evolution of the gut-microbiota-brain axis in animals reveals that microbial inputs influence metabolism, the regulation of inflammation and the development of organs, including the brain. ...Perhaps its composition is more flexible than the microbiota of …
            "
"
              
                Gut microbial dysbiosis and its association with esophageal cancer.
              
            ","Ishaq HM, Mohammad IS, Sher Muhammad K, Li H, Abbas RZ, Din Sindhu ZU, Ullah S, Fan Y, Sadiq A, Raza MA, Hussain R, Arshad HM, Khan I, Waqas MU, Ul-Rahman A, Yasin R, Rehman A, Akhtar RW, Xu J.",J Appl Biomed. 2021 Mar;19(1):1-13. doi: 10.32725/jab.2021.005. Epub 2021 Feb 3.,34907711,"
              Due to its aggressive nature and low survival rate, esophageal cancer is one of the deadliest cancer. While the intestinal microbiome significantly influences human health and disease. This research aimed to investigate and characterize the relative abundance of int …
            "
"
              
                The Role of Psychobiotics to Ensure Mental Health during the COVID-19 Pandemic-A Current State of Knowledge.
              
            ","Zielińska D, Karbowiak M, Brzezicka A.",Int J Environ Res Public Health. 2022 Sep 3;19(17):11022. doi: 10.3390/ijerph191711022.,36078738,"
              Psychobiotics are defined as probiotics, mainly of the genus Lactobacillus and Bifidobacterium, that confer mental health benefits to the host when consumed in a particular quantity through the interaction with commensal gut microbiota. The gut …
            "
"
              
                Multigenerational adversity impacts on human gut microbiome composition and socioemotional functioning in early childhood.
              
            ","Querdasi FR, Enders C, Karnani N, Broekman B, Yap Seng C, Gluckman PD, Mary Daniel L, Yap F, Eriksson JG, Cai S, Chong MF, Toh JY, Godfrey K, Meaney MJ, Callaghan BL.",Proc Natl Acad Sci U S A. 2023 Jul 25;120(30):e2213768120. doi: 10.1073/pnas.2213768120. Epub 2023 Jul 18.,37463211,"
              We found distinct differences in gut microbiome profiles linked to each adversity exposure, as well as some nonaffected microbiome features (e.g., beta diversity). Remarkably, some of the microbial taxa associated with concurrent and prospective child …
            "
"
              
                Impact of chemotherapy on the association between fear of cancer recurrence and the gut microbiota in breast cancer survivors.
              
            ","Okubo R, Kinoshita T, Katsumata N, Uezono Y, Xiao J, Matsuoka YJ.",Brain Behav Immun. 2020 Mar;85:186-191. doi: 10.1016/j.bbi.2019.02.025. Epub 2019 Feb 25.,30818031,"
              CONCLUSION: Our findings provide the first evidence of an association between the gut microbiota and FCR and suggest that chemotherapy-induced changes in gut microbiota can influence FCR. Further studies should examine the effects of the gut …
            "
"
              
                An Investigation Into Physical Frailty as a Link Between the Gut Microbiome and Cognitive Health.
              
            ","Verdi S, Jackson MA, Beaumont M, Bowyer RCE, Bell JT, Spector TD, Steves CJ.",Front Aging Neurosci. 2018 Dec 4;10:398. doi: 10.3389/fnagi.2018.00398. eCollection 2018.,30564113,"
              We then repeated the analyses in a subset of individuals with dietary data, also excluding those using medications shown to influence gut microbiome composition. DLRT and verbal fluency were negatively associated with alpha diversity of the gut micr …
            "
"
              
                Feeding Our Microbiota: Stimulation of the Immune/Semiochemical System and the Potential Amelioration of Non-Communicable Diseases.
              
            ","Smith D, Jheeta S, Fuentes HV, Palacios-Pérez M.",Life (Basel). 2022 Aug 5;12(8):1197. doi: 10.3390/life12081197.,36013376,"
              Following the mid-20th century African studies of Denis Burkitt, the environmental cause of conditions such as obesity has been ascribed to the absence of sufficient fibre in the modern diet, however in itself that is insufficient to explain the parallel rise of problems with bot …
            "
"
              
                Current Understanding of Gut Microbiota in Mood Disorders: An Update of Human Studies.
              
            ","Huang TT, Lai JB, Du YL, Xu Y, Ruan LM, Hu SH.",Front Genet. 2019 Feb 19;10:98. doi: 10.3389/fgene.2019.00098. eCollection 2019.,30838027,"
              Gut microbiota plays an important role in the bidirectional communication between the gut and the central nervous system. ...Advances in gene sequencing techniques further facilitate investigating the underlying relationship between gut microbiota …
            "
"
              
                Unveiling of dietary and gut-microbiota derived B vitamins: Metabolism patterns and their synergistic functions in gut-brain homeostasis.
              
            ","Zhan Q, Wang R, Thakur K, Feng JY, Zhu YY, Zhang JG, Wei ZJ.",Crit Rev Food Sci Nutr. 2024;64(13):4046-4058. doi: 10.1080/10408398.2022.2138263. Epub 2022 Oct 22.,36271691,"
              Despite their universal requirement and critical role, not all the three domains of life are endowed with a natural ability for de novo B vitamins synthesis. The human gut microbiome constitutes prototrophs and auxotroph which are entirely dependent on dietary intak …
            "
"
              
                Gut microbiota resilience in horse athletes following holidays out to pasture.
              
            ","Mach N, Lansade L, Bars-Cortina D, Dhorne-Pollet S, Foury A, Moisan MP, Ruet A.",Sci Rep. 2021 Mar 3;11(1):5007. doi: 10.1038/s41598-021-84497-y.,33658551,"
              Elite horse athletes that live in individual boxes and train and compete for hours experience long-term physical and mental stress that compromises animal welfare and alters the gut microbiota. ...However, pasture exposure induced an increase in Ruminococcus …
            "
