Tags,Headers,Asked Timestamps,Modified Timestamps,View Counts,Original Posters,Questions,Answers,Linked Questions,Related Questions
multithreading,,,,"
                        Modified
                        9 years, 6 months ago
                    ",,,"
I was able to resolve by adding the following line to CMakeLists.txt

add_definitions(-DGLEW_STATIC)


I do not understand why the above would work since, to my understanding the following would have had the same affect:

#define GLEW_STATIC

    ",Advice needed for multi-threading strategy for WPF application,UIWebview crashes when I load certain webpages
timer,,,,"
                        Viewed
                        1k times
                    ",,,"
The code is using a combination of .each() AND a for-in loop... and strangely the callback from a blur() function? It can be simplified like this:

var amount = 0;
$('#bill_amount:disabled, #fine, #discount, #other_cost')
  .blur()
  .each(function() {
    var sign = this.id === 'discount' ? -1 : 1;
    amount += parseFloat($(this).val()) * sign;
  });
$('#total').val(amount);




Update:

Oh, you want the total to update on blur... try this code:

var $values = $('#bill_amount:disabled, #fine, #discount, #other_cost');
$values.on('blur', function() {
  var amount = 0;
  $values.each(function(){
    var sign = this.id === 'discount' ? -1 : 1;
    amount += parseFloat($(this).val()) * sign;
  });
  $('#total').val(amount);
});

    ",ItemsControl - Bindable Collection - Ui update by Timer Event,What should I do about this random iPhone crash in WebCore?
opengl,,,,"
                        Asked
                        7 years, 4 months ago
                    ",,,"
I can see stuff like this all around:

var fine = +$('#fine');


The jQuery() method returns jQuery objects, not numbers or even strings. Forcing a number cast will thus return NaN.

You need to first grab the text inside and than parse numbers of out it. How to do it depends on how your HTML is structured but in general:


In form fields you can normally use .val()
In most other tags you can use .text()

    ",System.Threading.Timer with WPF/C# problems,UIWebView iOS 5 : WebKit/JavaScriptCore crash
mingw,,,,"
                        Modified
                        7 years, 4 months ago
                    ",,,"
Make sure that all values are interpreted as numbers by JavaScript. Otherwise it will try to calculate some odd result from a string, which might get interpreted as something else than the a decimal number (hex, octa, ...).
    ",Methods to update GUI in WPF,UIWebview crashing on IOS 7 but not on IOS 6
glew,,,,"
                        Viewed
                        470 times
                    ",,,"
You array holds numbers and you act like they are strings

var chargeAble = [  //this holds values
    partial_cost,
    fine,
    discount,
    other_cost
];


and in the loop you are using it for an id???

chargeAble[charge].attr('id') 

    ",Why do 64-bit DLLs go to System32 and 32-bit DLLs to SysWoW64 on 64-bit Windows?,Unreproducible webcore crashes
clion,,,,"
                        Asked
                        5 years, 1 month ago
                    ",,,"
You could for example handle the PreviewKeyDown event:

data_grid.PreviewKeyDown += (s, e) =>
{
    if(e.Key == Key.O && data_grid.SelectedItem is DirectoryInfo di)
        System.Diagnostics.Process.Start(di.FullName);
};

    ",Building opengl application with glew and glfw,iOS uiwebview crash in WebThread
javascript,,,,"
                        Modified
                        5 years, 1 month ago
                    ",,,"
Some years late, but might help others:
This code trims all fields of a the table your_table.
Could be expanded to work on the whole database in the same way....
SET SESSION group_concat_max_len = 1000000;
SELECT concat('update your_table set ',
    group_concat(concat('`',COLUMN_NAME, '` = trim(`',COLUMN_NAME,'`)')),';')
FROM INFORMATION_SCHEMA.COLUMNS
WHERE table_name = 'your_table'
INTO @trimcmd;
    
PREPARE s1 from @trimcmd;
EXECUTE s1;
DEALLOCATE PREPARE s1;

    ",Same calculation returns NaN from inside object BUT returns integer from a function doing the same calculation,How to fix WebCore crashes in UIWebView?
jquery,,,,"
                        Viewed
                        75 times
                    ",,,"
you expand the query for each column:

UPDATE mytable
SET mycolumn = LTRIM(RTRIM(mycolumn)),
    mycolumn2 = LTRIM(RTRIM(mycolumn2)),
    ...;

    ",PreviewKeyDown with System.Diagnostics.Process.Start(some url) opens two browsers,Crash in UIKit related to WebView
arrays,,,,"
                        Asked
                        12 years, 11 months ago
                    ",,,"
Since the question asks for the whole database, here is the script that generates the required SQL. I skip the auto execute, execute it as you like. 

-- Set your database name here
SET @my_database:='YOUR_DB_NAME';

SET SESSION group_concat_max_len = 1000000;

SELECT 
    CONCAT('UPDATE `', @my_database, '`.`', TABLE_NAME, 
            '` SET ', GROUP_CONCAT(
                CONCAT('`', COLUMN_NAME, '` = TRIM(`', COLUMN_NAME, '`)')
                ORDER BY ORDINAL_POSITION ASC),
            ';') AS `query`
FROM
    INFORMATION_SCHEMA.COLUMNS
WHERE
    TABLE_SCHEMA = @my_database
GROUP BY TABLE_NAME
ORDER BY TABLE_NAME ASC;


@ZweiStein Thanks.
    ",Remove Trailing Spaces and Update in Columns in SQL Server,UIWebView crash on ios 8
c#,,,,"
                        Modified
                        3 years, 2 months ago
                    ",,,"
UPDATE mytable SET 
mycolumn = LTRIM(RTRIM(mycolumn)), 
mycolumn2 = LTRIM(RTRIM(mycolumn2)) 


and so on, and so forth.
    ",mysql trim column in database,iOS UIWebView crashes when trying to request url
wpf,,,,"
                        Viewed
                        18k times
                    ",,,"
If there are not too many columns, you could just
directly 
UPDATE each by your_column_name, via the TRIM() function:

UPDATE mytable SET 
mycolumn1 = TRIM(mycolumn1), 
mycolumn2 = TRIM(mycolumn2),
mycolumn3 = TRIM(mycolumn3),
mycolumn4 = TRIM(mycolumn4)


Otherwise, ZweiStein's answer above for a single table,
or Izhar Aazmi's answer for an entire database  seem the way to go.

Hiram's answer to  another SO Post includes a check to only TRIM VARCHAR fields: excellent feature!

Or, if using T-SQL, or others which do not support TRIM,  use the LTRIM(RTRIM(...)) trick,
 suggested by Jim Rubenstein and Denis de Bernardy above.
    ",Mysql: Trim all columns values when selecting,Timers in .net - which to use when?
datagrid,,,,"
                        Asked
                        3 years, 11 months ago
                    ",,,"
I was actually looking for something similar for a legacy table that's constantly updated by an outside source when I came across this question. I realize the OP was looking for a purely SQL(MySQL) answer, but in case you use Rails, you might find this tidbit that I came up with helpful:

MyModel.update_all(MyModel.columns.map(&:name).map{|x| ""#{x} = TRIM(#{x})""}.join(', '))


You can also wrap it into a class method in your model

class MyModel < ActiveRecord::Base
  def self.trim_all
   update_all(columns.map(&:name).map{|x| ""#{x} = TRIM(#{x})""}.join(', '))
 end
end


Then call it like this

MyModel.trim_all

    ",Compiled C executable is detected as a virus by windows defender,Thread vs Timer in C#
